work_id,year,period,first_country_known,first_target,corr_country_known,corr_target,international_collaboration,n_author_countries,studied_count
W2915141268,2004,1990-2004,False,,False,,False,0,1
W3201145119,2004,1990-2004,False,,False,,False,0,1
W7199457211,2004,1990-2004,False,,False,,False,0,1
W2016834351,2004,1990-2004,True,False,True,False,False,1,1
W1974833527,2004,1990-2004,True,False,True,False,True,4,0
W2045435898,2004,1990-2004,True,False,True,False,True,3,1
W2113109834,2004,1990-2004,True,False,True,False,False,1,1
W7131651194,2004,1990-2004,False,,False,,False,1,1
W7131678864,2004,1990-2004,False,,False,,False,1,1
W2160101293,2004,1990-2004,True,False,False,,True,2,1
W2482991958,2004,1990-2004,False,,False,,False,0,2
W7131624117,2004,1990-2004,True,True,False,,False,1,1
W7131644032,2004,1990-2004,True,True,False,,False,1,1
W2084498671,2004,1990-2004,True,False,True,False,True,2,1
W2088997733,2004,1990-2004,True,True,True,True,True,2,1
W2093394727,2004,1990-2004,True,False,True,False,False,1,0
W2011803017,2004,1990-2004,True,True,False,,False,1,1
W2141505973,2004,1990-2004,True,False,True,False,True,2,1
W7131623718,2004,1990-2004,True,True,True,True,True,2,1
W7131658718,2004,1990-2004,True,True,True,True,True,2,1
W7131833526,2004,1990-2004,True,True,False,,True,3,1
W7131870455,2004,1990-2004,True,True,False,,True,3,1
W1973682484,2004,1990-2004,True,True,False,,False,1,1
W2068556673,2004,1990-2004,True,True,False,,False,1,1
W2115011764,2004,1990-2004,True,False,True,False,False,1,0
W2146328835,2004,1990-2004,True,True,True,True,False,1,1
W7131625836,2004,1990-2004,True,True,False,,False,1,1
W7131681406,2004,1990-2004,True,True,False,,False,1,1
W2088277493,2004,1990-2004,True,False,True,False,False,1,7
W7131824097,2004,1990-2004,True,True,True,True,False,1,1
W7131891664,2004,1990-2004,True,True,True,True,False,1,1
W2137004111,2004,1990-2004,True,False,True,False,True,2,0
W278540085,2004,1990-2004,False,,False,,False,0,1
W7131846791,2004,1990-2004,True,True,False,,False,1,1
W7131860120,2004,1990-2004,True,True,False,,False,1,1
W1982236033,2004,1990-2004,True,False,True,False,True,2,1
W1850383037,2004,1990-2004,False,,False,,False,0,1
W2753665610,2004,1990-2004,False,,False,,False,0,1
W1516968758,2005,2005-2010,False,,False,,False,0,1
W2065882396,2005,2005-2010,True,False,True,False,False,1,1
W2228082570,2005,2005-2010,False,,False,,False,0,1
W2233328515,2005,2005-2010,False,,False,,False,0,1
W2276732711,2005,2005-2010,False,,False,,False,0,1
W2581266071,2005,2005-2010,False,,False,,False,0,1
W2624107331,2005,2005-2010,False,,False,,False,0,1
W2626698004,2005,2005-2010,False,,False,,False,0,3
W2738066317,2005,2005-2010,False,,False,,False,0,1
W1984965363,2005,2005-2010,True,False,True,False,False,1,1
W2055109873,2005,2005-2010,True,False,True,False,True,3,0
W2125553998,2005,2005-2010,True,False,False,,False,1,2
W4213361616,2005,2005-2010,True,False,True,False,True,2,0
W1992231976,2005,2005-2010,True,True,False,,False,1,1
W2037131397,2005,2005-2010,True,True,True,True,False,1,1
W3124915523,2005,2005-2010,False,,False,,False,0,1
W2015387837,2005,2005-2010,True,True,True,True,False,1,1
W3004027619,2005,2005-2010,False,,False,,False,0,0
W2050468852,2005,2005-2010,True,True,True,True,True,2,1
W2046606328,2005,2005-2010,False,,False,,False,0,1
W7133123382,2005,2005-2010,True,True,False,,False,1,1
W7133136199,2005,2005-2010,True,True,False,,False,1,1
W7132818935,2005,2005-2010,True,True,False,,False,1,1
